start_date,start_time,distance,distance_raw,short_unit,moving_time,elapsed_time
"Wed, 19/06/2019",2019-06-19T12:29:10+0000,2.42,2423.1,km,10:01,10:01
"Sun, 23/06/2019",2019-06-23T00:04:04+0000,4,4002.4,km,18:10,18:19
"Mon, 24/06/2019",2019-06-24T00:55:33+0000,3.99,3992.5,km,19:54,19:54
"Sun, 30/06/2019",2019-06-30T01:34:17+0000,3.99,3994.8,km,18:19,18:19
"Tue, 09/07/2019",2019-07-09T12:31:03+0000,3.88,3880.1,km,20:05,20:34
"Tue, 09/07/2019",2019-07-09T13:08:48+0000,1.02,1021.1,km,4:15,4:32
"Sat, 13/07/2019",2019-07-12T23:41:11+0000,4,4007.6,km,18:55,18:55
"Thu, 18/07/2019",2019-07-18T12:26:59+0000,3.14,3142.7,km,14:21,14:21
"Thu, 18/07/2019",2019-07-18T12:48:20+0000,1.06,1065.5,km,4:10,4:10
"Thu, 25/07/2019",2019-07-25T12:27:11+0000,10.07,10072.9,km,51:43:00,51:49:00
"Mon, 29/07/2019",2019-07-29T11:53:49+0000,2.08,2080.8,km,9:32,9:34
"Mon, 05/08/2019",2019-08-05T11:30:44+0000,6.86,6862.6,km,33:20:00,33:20:00
"Fri, 09/08/2019",2019-08-08T22:25:25+0000,4.21,4209.4,km,18:13,18:17
"Sat, 10/08/2019",2019-08-10T09:59:28+0000,8.51,8515.1,km,42:53:00,42:53:00
"Wed, 14/08/2019",2019-08-14T11:20:29+0000,1.6,1599.2,km,6:36,6:36
"Thu, 15/08/2019",2019-08-15T12:17:48+0000,4.67,4674.4,km,21:54,21:54
"Fri, 16/08/2019",2019-08-16T11:39:40+0000,12.03,12036.6,km,59:41:00,59:45:00
"Wed, 28/08/2019",2019-08-28T11:40:08+0000,3.81,3811.5,km,17:45,17:45
"Sat, 31/08/2019",2019-08-31T09:24:29+0000,12.22,12220.5,km,1:05:58,1:06:07
"Fri, 06/09/2019",2019-09-06T15:17:48+0000,2.12,2122.8,km,8:49,8:49
"Wed, 11/09/2019",2019-09-11T12:09:36+0000,5.49,5496,km,26:04:00,26:04:00
"Thu, 12/09/2019",2019-09-12T12:29:04+0000,2.01,2015.1,km,8:17,8:17
"Sun, 15/09/2019",2019-09-15T07:40:49+0000,9.28,9288.9,km,55:16:00,59:19:00
"Sun, 15/09/2019",2019-09-15T08:41:36+0000,0.43,437.9,km,1:29,1:29
"Tue, 17/09/2019",2019-09-17T12:27:22+0000,2.39,2392.3,km,10:34,10:34
"Fri, 20/09/2019",2019-09-20T11:55:19+0000,1.62,1623.7,km,8:13,8:13
"Wed, 25/09/2019",2019-09-25T11:59:10+0000,2.8,2804.5,km,12:23,12:28
"Sat, 05/10/2019",2019-10-05T11:39:52+0000,0.34,347.9,km,1:56,3:55
"Sat, 05/10/2019",2019-10-05T11:46:59+0000,1.32,1324.5,km,9:57,10:24
"Wed, 09/10/2019",2019-10-09T07:46:12+0000,2.27,2269.3,km,11:58,12:24
"Thu, 24/10/2019",2019-10-24T09:05:35+0000,2.74,2745.1,km,13:28,13:28
"Fri, 25/10/2019",2019-10-25T10:54:17+0000,2.71,2710.1,km,12:45,12:45
"Sun, 27/10/2019",2019-10-27T00:44:28+0000,3.96,3964.7,km,19:52,19:56
"Tue, 29/10/2019",2019-10-29T11:51:49+0000,4.1,4101.7,km,19:56,19:56
"Wed, 30/10/2019",2019-10-30T12:01:31+0000,1.61,1610,km,6:40,6:40
"Thu, 31/10/2019",2019-10-31T13:05:52+0000,4.01,4012.5,km,18:23,18:23
"Sat, 02/11/2019",2019-11-02T10:19:36+0000,8.01,8015.9,km,40:51:00,40:51:00
"Mon, 04/11/2019",2019-11-04T01:30:54+0000,4.04,4039.3,km,22:02,22:13
"Tue, 05/11/2019",2019-11-05T12:14:39+0000,10.12,10122.1,km,53:20:00,53:20:00
"Thu, 07/11/2019",2019-11-07T12:35:17+0000,1.03,1029.5,km,4:31,4:31
"Sat, 09/11/2019",2019-11-09T09:33:49+0000,3.91,3909.2,km,18:57,19:03
"Sat, 09/11/2019",2019-11-09T09:56:58+0000,1,1006.6,km,6:01,6:01
"Tue, 12/11/2019",2019-11-12T12:07:43+0000,3.21,3214.2,km,14:29,14:29
"Wed, 13/11/2019",2019-11-13T11:50:48+0000,3.21,3217.6,km,14:24,14:24
"Thu, 14/11/2019",2019-11-14T12:53:22+0000,2.11,2118.8,km,9:20,9:20
"Sat, 16/11/2019",2019-11-16T00:37:49+0000,2.47,2476.1,km,16:31,18:34
"Mon, 18/11/2019",2019-11-18T11:56:54+0000,5.29,5293.7,km,24:52:00,24:55:00
"Tue, 19/11/2019",2019-11-19T10:59:15+0000,1.49,1495.4,km,6:42,6:42
